Instances,,,ScalableCA,,,,Alt-1,,,,Alt-2,,,,Alt-3,,,,Alt-4,,,,Alt-5,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
moab,,531,564.8,2303.47,,531,564.8,3580.26,,621,661.2,11841.55,,866,874.5,897.15,,804,816.8,171086.33,,717,728.2,28402.97
mpc50,,474,499.7,1566.09,,474,499.7,2558.43,,546,586.8,8232.52,,705,716.5,718.05,,623,638.0,171118.09,,584,595.6,19921.35
nano,,560,590.6,2274.95,,560,590.6,3495.66,,648,684.9,11406.16,,891,898.6,941.18,,830,839.6,170141.63,,741,756.3,27645.76
npwr,,502,532.6,2038.43,,502,532.6,3128.35,,602,628.9,9739.74,,788,796.4,831.00,,719,731.2,171525.88,,655,663.9,22183.88
ocelot,,521,541.2,1939.87,,521,541.2,3175.78,,594,638.9,11110.87,,792,801.4,839.20,,728,738.6,170648.98,,659,673.1,24339.66
olpce2294,,514,546.1,2361.51,,514,546.1,3564.16,,613,648.6,11520.67,,825,844.0,926.85,,764,783.9,170764.18,,685,700.0,28932.69
olpch2294,,490,506.7,1899.44,,490,506.7,3063.18,,539,578.3,9650.91,,749,755.9,822.67,,678,688.2,171330.41,,616,627.7,24497.93
olpcl2294,,544,561.4,2046.70,,544,561.4,3272.89,,585,642.7,11045.70,,826,845.7,911.48,,760,783.8,171314.11,,692,702.9,26970.85
p2106,,488,508.6,1728.30,,488,508.6,2782.71,,530,592.8,9657.95,,739,755.5,810.30,,667,684.3,171184.76,,608,626.8,24804.22
pati,,483,497.0,2000.21,,483,497.0,3110.49,,556,601.6,9025.76,,735,742.3,823.09,,662,671.7,171651.38,,602,612.3,22198.39
pc_i82544,,526,556.3,2178.42,,526,556.3,3358.57,,606,651.0,10190.23,,837,848.6,856.98,,770,786.1,171145.44,,697,709.0,27846.46
pc_i82559,,537,557.4,2139.95,,537,557.4,3268.54,,607,643.9,10800.15,,843,856.2,864.75,,782,794.2,170667.29,,689,710.0,28623.88
pc_rltk8139,,583,597.3,2080.30,,583,597.3,3221.53,,655,690.7,11091.63,,890,907.8,893.89,,829,846.9,171789.62,,748,759.8,27554.87
pc_usb_d12,,488,515.4,2172.52,,488,515.4,3343.64,,577,606.3,10147.41,,773,786.7,870.67,,709,723.3,171222.82,,649,657.4,24448.92
pc_vmWare,,525,559.1,1841.73,,525,559.1,2969.37,,593,622.4,9770.71,,814,833.3,832.56,,751,769.8,170356.70,,671,688.4,26024.33
phycore,,485,510.5,2001.40,,485,510.5,3252.03,,504,581.5,10833.35,,744,761.4,823.30,,682,697.0,171640.71,,630,637.2,25652.72
phycore229x,,524,547.0,2491.26,,524,547.0,4065.37,,600,642.5,15264.15,,831,842.9,1037.70,,779,792.1,171032.99,,684,702.4,30908.73
picasso,,506,535.3,1828.65,,506,535.3,2955.52,,584,613.9,9633.38,,774,784.7,791.40,,711,719.0,170940.91,,636,651.4,22778.54
pid,,472,494.1,1706.64,,472,494.1,2820.84,,537,583.9,8343.53,,728,738.7,743.25,,656,664.8,171301.44,,590,609.9,21389.95
prpmc1100,,477,504.4,1574.57,,477,504.4,2583.79,,500,581.1,8531.07,,724,734.9,737.71,,644,658.8,171136.01,,593,611.0,18491.73
psim,,463,492.5,1327.30,,463,492.5,2286.52,,535,584.3,7057.82,,692,702.2,644.93,,610,617.6,170848.40,,572,585.5,18771.77
rattler,,570,593.2,2314.48,,570,593.2,3666.59,,653,686.0,13028.61,,877,887.9,1007.74,,825,835.1,171449.24,,723,735.6,31573.74
ref4955,,478,497.2,1707.79,,478,497.2,2792.53,,567,597.5,8225.30,,737,744.8,732.23,,658,669.8,171294.46,,609,624.4,20735.27
refidt334,,545,575.0,2162.69,,545,575.0,3351.70,,630,666.1,12565.45,,857,867.2,912.74,,796,807.1,170957.45,,720,731.5,28192.70
sa1100mm,,485,498.2,1668.42,,485,498.2,2668.13,,548,584.5,8314.71,,725,733.8,786.72,,648,658.0,171380.35,,601,609.5,21409.48
sam7ex256,,524,553.0,2141.08,,524,553.0,3520.32,,601,638.8,11529.97,,817,827.2,957.98,,763,774.9,169452.72,,681,694.6,27187.33
se7751,,586,614.0,2305.60,,586,614.0,3601.93,,689,722.6,10460.38,,917,934.2,889.98,,863,880.1,171361.33,,775,788.3,28158.19
sh4_202_md,,582,604.1,2127.70,,582,604.1,3308.51,,680,721.7,10160.52,,895,909.9,853.59,,837,851.0,170556.09,,755,763.6,26349.51
sh7708,,686,710.0,1728.07,,686,710.0,2853.29,,819,857.1,9491.69,,1015,1033.8,759.19,,960,977.2,170947.92,,851,863.3,28376.28
skmb91302,,472,494.9,1731.05,,472,494.9,2772.03,,548,586.1,8159.70,,718,735.5,739.47,,646,660.1,171066.65,,600,609.0,20901.51
sleb,,465,483.6,1568.05,,465,483.6,2551.90,,541,574.1,7274.27,,698,706.9,690.63,,613,621.9,171612.76,,576,587.6,18570.59
smdk2410,,685,726.3,1825.09,,685,726.3,3017.05,,823,870.4,8755.79,,1060,1070.5,804.18,,1006,1016.9,171124.56,,868,890.0,32936.97
snds,,509,534.6,1503.03,,509,534.6,2561.62,,568,605.8,8538.01,,765,773.3,718.82,,689,698.0,171817.88,,636,642.4,18134.17
sparc_erc32,,455,483.2,1512.77,,455,483.2,2426.82,,517,563.6,6956.05,,693,704.7,639.99,,603,620.0,171645.73,,570,582.6,17415.44
sparc_leon,,465,487.4,1429.08,,465,487.4,2354.81,,527,569.4,6801.06,,695,704.2,645.88,,611,616.3,171718.26,,573,584.7,16758.98
