Instances,,,ScalableCA,,,,SamplingCA,,,,CAmpactor,,,,Calot,,,,AETG,,,,ACTS,,,,JCunit,,,,TCA,,,,FastCA,,,,AutoCCAG,
,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime,,mini_size,avg_size,avg_runtime
ocelot,,521,541.2,1939.87,,920,930.4,71603.63,,881,893.2,171579.46,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
olpce2294,,514,546.1,2361.51,,947,967.4,76801.31,,912,934.4,171372.84,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
olpch2294,,490,506.7,1899.44,,856,875.1,66556.03,,812,832.8,171516.08,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
olpcl2294,,544,561.4,2046.70,,952,965.5,76340.91,,921,932.4,171557.35,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
p2106,,488,508.6,1728.30,,854,873.3,65739.74,,807,829.6,171536.27,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pati,,483,497.0,2000.21,,839,859.3,64519.60,,793,814.1,171794.18,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pc_i82544,,526,556.3,2178.42,,964,980.7,74234.86,,929,946.0,171460.52,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pc_i82559,,537,557.4,2139.95,,963,978.4,73852.55,,927,943.4,171492.48,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pc_rltk8139,,583,597.3,2080.30,,1025,1036.8,77084.74,,993,1005.0,171169.54,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pc_usb_d12,,488,515.4,2172.52,,893,915.8,73202.98,,857,880.1,171699.26,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pc_vmWare,,525,559.1,1841.74,,944,956.4,71985.69,,908,919.5,171743.59,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
phycore,,485,510.5,2001.40,,870,885.5,70984.04,,831,847.0,171203.27,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
phycore229x,,524,547.0,2491.26,,955,970.1,96279.14,,931,949.1,171552.30,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
picasso,,506,535.3,1828.65,,901,910.1,68100.00,,859,869.0,171278.85,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
pid,,472,494.1,1706.64,,850,861.0,61480.61,,800,812.1,171728.00,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
prpmc1100,,477,504.4,1574.57,,836,847.1,59336.33,,786,795.9,171860.96,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
psim,,463,492.5,1327.30,,800,816.5,51299.23,,735,753.7,172060.92,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
rattler,,570,593.2,2314.48,,1008,1024.8,88826.80,,985,1000.5,170943.48,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
ref4955,,478,497.2,1707.79,,844,861.6,58480.62,,791,810.2,171787.10,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
refidt334,,545,575.0,2162.69,,980,998.9,75843.77,,945,965.7,171864.26,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sa1100mm,,485,498.2,1668.42,,848,856.3,59352.12,,796,805.3,171657.54,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sam7ex256,,524,553.0,2141.08,,942,952.3,88190.98,,917,927.2,170880.64,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
se7751,,586,614.0,2305.60,,1057,1068.9,89359.17,,1032,1045.2,170746.02,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sh4_202_md,,582,604.1,2127.70,,1028,1039.5,79210.69,,998,1008.5,171392.89,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sh7708,,686,710.0,1728.07,,1188,1201.4,87526.39,,1162,1177.3,170812.15,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
skmb91302,,472,494.9,1731.05,,840,858.2,58886.87,,790,806.7,171953.25,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sleb,,465,483.6,1568.05,,811,827.9,52541.64,,747,767.3,171924.92,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
smdk2410,,685,726.3,1825.09,,1283,1304.7,92870.29,,1263,1285.0,170549.05,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
snds,,509,534.6,1503.03,,877,888.4,60705.75,,826,839.6,171643.97,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sparc_erc32,,455,483.2,1512.77,,797,811.1,48798.22,,728,744.8,171769.60,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sparc_leon,,465,487.4,1429.08,,795,811.2,49104.94,,730,746.5,171622.18,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
sparclite_sim,,470,485.0,1409.24,,805,817.7,50018.21,,738,751.8,172113.31,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
stb,,493,508.0,1796.03,,870,886.3,66848.48,,828,844.1,171138.34,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
stdeval1,,485,499.5,1560.73,,853,877.5,55672.51,,795,822.4,171262.26,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
stm3210e_eval,,478,504.5,2031.72,,858,872.9,67957.38,,814,831.7,171986.52,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--,,--,--,--
